seconds_elapsed,z,y,x
71.24427441,-2.022969723,1.296643734,-0.429928094
71.26011279,1.950774193,1.631331444,-0.645001352
71.27595166,3.743286133,1.601933241,-0.499598205
71.29172925,3.489386559,1.318223715,-0.03224051
71.30753711,4.186843872,1.277033329,-0.338088483
71.32334546,7.426135063,1.361384392,-0.149318188
71.33912305,10.55779076,1.720000982,0.340002835
71.35502271,10.42711639,2.995760441,-1.953612089
71.37080005,5.646622658,2.728505135,-2.928826094
71.38666943,1.95810318,1.244092464,-1.159676075
71.40256885,1.707418442,-1.478297949,1.643439293
71.41840771,2.880854607,-3.441031218,3.292675018
71.43427686,2.298659325,-4.59603548,4.167681694
71.45011523,1.437346458,-4.451333046,3.917203188
71.46592358,-0.275063515,-3.649013996,2.729508877
71.48176196,-2.921403885,-3.141887665,1.327564359
71.49760083,-5.459710121,-2.986715317,0.824289441
71.51350049,-6.073168755,-3.069107056,0.088045068
71.52930835,-4.49997282,-2.995470285,-0.433125705
71.54514722,-2.147259712,-2.347632885,-1.165351391
71.56104688,-1.951694012,-1.633366704,-3.277804613
71.57685474,-2.751943588,-0.731758356,-3.697601557
71.59275439,-5.119990349,-0.800299644,-2.093374252
71.60856274,-6.524744034,-1.047306061,-0.216575071
71.62443188,-6.265865326,-1.35830617,1.233746767
71.64033154,-3.982472897,-1.3846488,1.753995299
71.65610913,-0.781971931,-0.675822496,1.639178991
71.67210034,1.943785667,-0.151114464,1.074890256
71.68796924,2.933233261,0.296272039,0.390765011
71.70377759,2.8111763,0.123186827,-0.26749593
71.71961597,4.440766335,0.456204176,-0.001879901
71.73545483,5.534949303,0.513271093,-0.315405488
71.75135425,5.986932755,0.527647972,-0.270674706
71.76713184,5.970689774,0.216563463,-0.381456733
71.7829707,6.656612396,0.800733566,-0.0851686
71.79887036,6.278056145,0.569860935,0.223362699
71.81464771,3.919480324,-0.042520523,-0.550336957
71.83057788,1.774572372,-1.261679888,-1.878347397
71.84638623,3.483282089,-2.53666687,-2.533926725
71.86219409,4.362055779,-4.07285738,-2.538633108
71.87806348,4.641736984,-4.409008026,-1.586722016
71.89384082,2.606563568,-3.962737083,-0.833637059
71.909771,-0.773364067,-2.679841757,-0.771018863
71.92557935,-4.059807777,-1.929870963,-0.935142219
71.94144849,-4.533709526,-1.939006448,-0.037441403
71.95725635,-3.811636925,-2.093648434,1.076543331
71.97303394,-2.830774784,-2.139379501,1.462112427
71.98896436,-1.786599636,-1.96235311,1.593576074
72.00477246,-2.008324623,-1.614677906,0.611176252
72.02058032,-2.513801098,-1.165753126,-0.40123117
72.03647998,-3.514428616,-1.028119564,-0.437186122
72.05225781,-5.370178223,-1.011514664,-0.533214033
72.06818799,-7.201773167,-0.938261986,-0.720842779
72.08399585,-7.975774765,-0.879595518,-0.351641804
72.0998042,-6.58435297,-0.654682159,0.413178504
72.11567334,-1.803126812,-0.333212137,0.667019784
72.13151172,2.238553047,0.433765173,0.584442914
72.14741138,2.440895081,1.045601845,0.693676591
72.16328076,1.535063744,1.358877659,1.052103519
72.17908862,3.64447403,1.385211468,0.803592384
72.19498853,8.408784866,1.405542374,0.835098684
72.21076611,12.63361263,1.81368804,0.534591734
72.22669629,11.39799404,2.660947323,-1.191308022
72.24253491,6.274282455,2.877084494,-1.370161057
72.25837329,2.804189682,1.270587921,-1.521499991
72.27424268,3.169487,-1.218567848,0.103882968
72.2900813,2.596095085,-3.257362366,2.117251635
72.30591968,1.438501358,-4.421763897,3.776593685
72.32175854,1.422542572,-4.506322861,4.243484497
72.33756641,0.512868881,-3.629175186,2.843111277
72.35343555,-2.316758633,-2.367587805,0.864026427
72.3692439,-4.121338367,-1.633253813,0.117074907
72.38511279,-4.255895138,-1.250508785,-0.668137014
72.40092114,-3.770265102,-0.99306345,-1.539882421
72.416729,-2.715050697,-1.317741632,-2.117002964
72.43262866,-1.507457256,-1.547902822,-2.337852955
72.44840625,-2.226121902,-1.949488163,-1.931765676
72.46427539,-3.447031498,-2.326953411,0.022731468
72.48008374,-4.626016617,-2.439395428,1.077528358
72.4958916,-6.198392868,-2.436637402,1.07886219
72.51173047,-6.761800766,-1.997236848,0.49942863
72.52750806,-6.420150757,-1.713122606,-0.509307981
72.54343799,-2.171258926,-0.640200377,-1.692944765
72.55927686,1.533185959,-0.026774883,-1.476662874
72.57508472,2.371294975,0.823056698,-1.203768492
72.59098438,1.075058937,1.552205563,-0.921967268
72.60688403,0.294914246,2.074382305,0.182747111
72.62275317,1.240007401,1.801359653,0.903104782
72.63856152,4.735341072,1.097223282,1.362250566
72.65436963,8.695955276,0.712030888,2.573099613
72.67026929,10.44813824,0.395130396,2.428123951
72.68604663,8.627522469,-0.099975109,1.182013273
72.70197681,7.086048126,-0.448202848,-1.201600313
72.71775464,7.332764626,-1.867984653,-0.778720617
72.73362354,8.149558067,-3.346156836,0.028926162
72.74940137,5.845697403,-4.297868729,0.06648045
72.76517896,2.125553131,-3.878733158,-0.097817689
72.78110889,-1.811839581,-2.947717667,-0.725572288
72.79691724,-5.822213173,-1.922381401,-1.462063551
72.81275562,-8.702279091,-1.654444933,-0.341994703
72.828625,-8.483911514,-1.937569261,-0.558396399
72.84446362,-5.39384079,-2.166958332,-0.54272157
72.86036328,-1.733390331,-2.667744637,-0.079641104
72.87614087,-0.130414963,-2.672307253,0.853288889
72.89194873,-0.811079025,-2.496889114,0.869438529
72.90781787,-2.231514454,-1.985343099,-0.188411832
72.92359546,-3.747972488,-1.538565516,-0.734709978
72.93949512,-3.810702324,-1.083034992,-0.554668069
72.95539478,-3.751830578,-0.934473753,0.256651282
72.97126392,-3.473068237,-0.942748547,1.052097321
72.98716357,-2.307860374,-0.425610065,1.452746987
73.00291064,0.00101757,0.571429014,1.121155381
73.01884082,1.051640511,1.213106155,-0.667344451
73.03467944,1.975066185,1.272366524,-1.0788095
73.05051831,2.337479591,1.135912657,0.197602451
73.06638745,3.167873383,1.01263237,0.501416028
73.08222583,5.441002846,1.1183424,0.184019923
73.09809521,8.46865654,1.56009984,-0.125520974
73.11393384,8.784812927,2.656678915,-2.278350353
73.12977222,5.517899513,2.786368608,-2.896196365
73.14564136,2.00985527,1.283601999,-0.405019462
73.16151074,1.595912933,-0.703734398,1.661537647
73.17744067,1.762779236,-2.394706726,3.677337408
73.19327954,1.653533936,-3.407811642,4.586976051
73.2090874,1.555147171,-3.795228004,4.538918018
73.22495679,1.047987938,-3.637772799,2.95495677
73.24073413,0.163290977,-3.275470972,1.296946049
73.256573,-1.083702087,-3.093295097,0.604366422
73.27244214,-1.871481419,-3.032576323,0.767377973
73.28825,-2.855837345,-2.853334904,0.404450804
73.30411938,-3.273706913,-2.515891552,-0.500978231
73.31992725,-3.113407612,-1.874335051,-1.833590984
73.33579639,-4.126337528,-1.146722555,-3.325393438
73.35157397,-4.926543236,-0.839317322,-3.057358265
73.36738232,-4.80189991,-0.771950722,-1.523485184
73.3833125,-4.116785049,-1.039281368,-0.612814069
73.39912036,-2.661037445,-1.004771948,0.40796864
73.41505078,-2.180716991,-0.671030521,0.738421381
73.43082837,-1.71290493,-0.094309807,0.119894773
73.44666699,-1.306568146,0.36045289,-0.355690211
73.46253589,-0.810937881,1.065343142,0.026557446
73.47831372,-0.050601959,0.981505632,0.050410479
73.49418262,2.093159676,0.646068096,0.485530317
73.50996045,5.295556068,0.348477602,0.718500197
73.52579883,8.111078262,0.177784681,0.63797617
73.54160718,9.265027046,-0.276806831,0.023852585
73.55741528,9.01153183,0.51916337,-0.356624842
73.5733147,6.165415764,0.395669222,-0.858701527
73.5891228,3.966917038,-0.017670393,-1.790025234
73.60490063,3.020874023,-1.293898582,-1.318381429
73.62080029,2.352483749,-2.297168255,-1.002526283
73.63666943,0.666160583,-2.944837093,-1.164296389
73.65253833,-0.340727806,-2.895105362,-1.499119401
73.66831616,-1.161944389,-2.541935921,-1.904864311
73.68415454,-2.462807178,-2.133473158,-2.119829178
73.70002393,-3.330103397,-2.174367666,-1.500896215
73.71586255,-3.029928684,-2.454986572,0.178640574
73.73176221,-1.979230881,-2.872681379,1.505166292
73.74757007,-0.354338646,-2.865556955,2.600725174
73.76337842,-0.313601494,-2.509040833,2.623830557
73.7792168,-1.639933109,-1.942414284,1.959203243
73.79505566,-3.243409634,-1.395738244,0.527884066
73.81089404,-4.73901844,-1.048793554,-0.752746403
73.82670239,-4.534786701,-0.93337059,-1.11033535
73.84251025,-4.796965122,-0.813967466,-0.829125106
73.85837964,-5.151531696,-0.607338428,-0.247405052
73.87415698,-4.544003487,-0.452088833,0.109417975
73.89005664,-1.651593208,-0.273457766,0.554450035
73.90583423,0.662918091,0.260676384,0.781184256
73.92164258,0.788769722,0.756122589,1.26873064
73.93751172,0.978643417,0.988176107,1.615822673
73.9533501,2.570474625,0.927928209,1.043723345
73.96915845,7.976633072,1.102427483,0.277113497
73.98499683,12.40999508,1.605575323,-0.575463176
74.00083569,11.96373367,2.896728277,-2.956389904
74.01673535,6.291255951,3.23077774,-2.752021313
74.03257397,1.629798889,1.810104132,-1.767026782
74.04850415,0.225430489,-0.40629077,-0.198256552
74.06428149,0.277716637,-2.057658195,1.28206563
74.08012036,0.689522743,-3.36943388,2.769946814
74.09592822,0.84790802,-3.877997637,3.736356497
74.11176709,0.675436974,-3.828644037,3.205288649
74.12766675,-0.138642311,-3.301487207,2.136960983
74.14350513,-1.028618813,-3.039051056,1.055395365
74.15928296,-0.98589325,-2.596178055,0.529083014
74.17515186,-0.90839386,-2.122395515,-0.105827615
74.19099048,-0.61211586,-1.668231368,-1.18540144
74.20689014,-1.01110363,-1.202178478,-2.573431253
74.222729,-2.93788147,-0.983652472,-3.19182992
74.23853687,-5.064406872,-1.205410361,-1.949589252
74.25437573,-6.045569897,-1.469501495,-0.471194863
74.27024487,-5.337634087,-1.605569005,0.475261807
74.28614453,-4.317214966,-1.540716648,1.064788103
74.30204419,-3.692434311,-1.17177403,0.870442867
74.31797437,-3.812752724,-0.435458183,0.574759543
74.33378223,-4.038077354,0.252405882,0.038677156
